ax,ay,az,gx,gy,gz,timestamp
-0.3231189250946045,1.2279198169708252,-3.2745554447174072,6.832432270050049,1.4976394176483154,1.289726734161377,2024-04-23T16:45:14.955
-0.6178603172302246,1.5420225858688354,-2.1647984981536865,8.059925079345703,2.348484516143799,1.1822948455810547,2024-04-23T16:45:14.974
-0.577292799949646,1.8869208097457886,-1.5736186504364014,9.278288841247559,2.5489089488983154,1.229800820350647,2024-04-23T16:45:14.994
-0.6343656778335571,2.0927634239196777,-0.6750698089599609,9.90905475616455,1.929521918296814,1.0871275663375854,2024-04-23T16:45:15.014
-0.6747840642929077,2.1995882987976074,-0.3163539171218872,10.54421615600586,1.2920273542404175,0.7148815989494324,2024-04-23T16:45:15.034
-0.5073906183242798,2.381160020828247,0.13761019706726074,10.902827262878418,0.69293212890625,0.44851914048194885,2024-04-23T16:45:15.053
-0.5357969999313354,2.275444746017456,0.9057588577270508,10.35387134552002,-0.4650634825229645,-0.20099999010562897,2024-04-23T16:45:15.074
-0.3316568434238434,1.9665939807891846,1.420237421989441,8.871171951293945,-1.045101284980774,-0.8056108355522156,2024-04-23T16:45:15.094
-0.026093341410160065,1.6864105463027954,1.6936217546463013,6.829513072967529,-0.6457861661911011,-0.8532648086547852,2024-04-23T16:45:15.114
0.12656614184379578,1.4277141094207764,1.7320196628570557,4.9402594566345215,0.05771730840206146,-0.5689787864685059,2024-04-23T16:45:15.134
0.1493280529975891,1.19586980342865,1.7217772006988525,3.514941692352295,-0.0820949450135231,-0.4264355003833771,2024-04-23T16:45:15.154
0.08234080672264099,1.0583090782165527,1.646890640258789,2.424935817718506,-0.3351770341396332,-0.46840426325798035,2024-04-23T16:45:15.173
0.15593788027763367,0.9986683130264282,1.573285698890686,1.4487754106521606,-0.3464805483818054,-0.3797161877155304,2024-04-23T16:45:15.193
0.1850019097328186,0.9488517045974731,1.6709376573562622,0.23813283443450928,-0.3247995376586914,-0.24214795231819153,2024-04-23T16:45:15.213
0.19425387680530548,0.9163795113563538,1.6901487112045288,-1.0039563179016113,-0.43205806612968445,-0.08129358291625977,2024-04-23T16:45:15.233
0.09316306561231613,0.8903040885925293,1.677221417427063,-2.2115654945373535,-0.5785535573959351,-0.04950420558452606,2024-04-23T16:45:15.253
0.10022980719804764,0.9331510663032532,1.586137056350708,-3.274794816970825,-0.7478703260421753,0.07349200546741486,2024-04-23T16:45:15.273
0.004218023270368576,1.044018268585205,1.6147500276565552,-4.458468437194824,-1.0218416452407837,0.14697608351707458,2024-04-23T16:45:15.293
-0.15487271547317505,1.1560190916061401,1.5335302352905273,-5.650825023651123,-1.190943717956543,0.08613698184490204,2024-04-23T16:45:15.313
-0.193928062915802,1.3375790119171143,1.4432828426361084,-6.958446979522705,-1.0202853679656982,0.07530289888381958,2024-04-23T16:45:15.333
-0.30448949337005615,1.5025508403778076,1.3784973621368408,-8.452005386352539,-0.7113592028617859,-0.056718409061431885,2024-04-23T16:45:15.353
-0.2862097918987274,1.7517962455749512,1.2008240222930908,-9.826757431030273,-0.6593099236488342,-0.06569276005029678,2024-04-23T16:45:15.373
-0.30321118235588074,1.9521063566207886,0.7666075229644775,-10.656754493713379,-1.0435278415679932,0.01616748422384262,2024-04-23T16:45:15.393
-0.4531376361846924,1.9960803985595703,0.008729040622711182,-10.592083930969238,-1.190316915512085,-0.0397101566195488,2024-04-23T16:45:15.413
-0.6421853303909302,1.7753900289535522,-0.5955897569656372,-9.841533660888672,-1.3028008937835693,-0.5064365863800049,2024-04-23T16:45:15.433
-0.6163597106933594,1.4477148056030273,-0.9483531713485718,-8.554858207702637,-2.1306934356689453,-1.008303165435791,2024-04-23T16:45:15.453
-0.4743514955043793,1.3207645416259766,-0.98961341381073,-7.597569465637207,-3.123504638671875,-1.1247351169586182,2024-04-23T16:45:15.473
-0.3919404149055481,1.5880531072616577,-1.048577070236206,-7.503480911254883,-3.020420789718628,-0.8435887694358826,2024-04-23T16:45:15.493
-0.17554453015327454,1.6830904483795166,-1.8906371593475342,-6.634021759033203,-2.385737657546997,-0.3370925486087799,2024-04-23T16:45:15.513
-0.23880019783973694,1.5423355102539062,-2.6475863456726074,-4.760666847229004,-2.209747791290283,-0.10826601833105087,2024-04-23T16:45:15.533
-0.37394049763679504,1.3396786451339722,-3.228238821029663,-2.343306541442871,-1.8064998388290405,-0.14433534443378448,2024-04-23T16:45:15.553
-0.2408505082130432,1.1985324621200562,-3.5860252380371094,0.42899441719055176,-1.351660132408142,-0.00702916644513607,2024-04-23T16:45:15.573
-0.2147839069366455,1.1892164945602417,-3.4684102535247803,2.701502561569214,0.056890904903411865,0.4209946095943451,2024-04-23T16:45:15.593
-0.24545857310295105,1.272731065750122,-3.0108542442321777,4.3964457511901855,1.467673420906067,1.0513157844543457,2024-04-23T16:45:15.613
-0.4793321490287781,1.371889352798462,-2.391282558441162,5.548205375671387,2.705439567565918,1.4206624031066895,2024-04-23T16:45:15.633
